Source,Target
924197,378967
562958,924197
562958,363028
562958,165878
562958,490754
562958,426751
562958,796365
562958,726144
562958,688573
562958,757216
562958,442950
562958,633917
562958,102106
562958,576134
562958,608267
562958,462872
562958,904386
562958,442745
562958,943838
562958,268483
562958,131039
562958,851128
562958,995605
562958,919694
562958,132392
562958,922384
562958,266769
562958,362770
562958,633213
562958,138896
562958,840547
381632,924197
381632,562958
381632,363028
381632,307937
381632,187821
381632,912391
381632,640867
381632,301108
381632,426751
381632,225295
381632,873824
381632,225284
381632,823236
381632,142237
381632,647640
381632,642667
381632,184650
381632,726144
381632,918710
381632,957570
381632,532741
381632,688573
381632,885202
381632,538136
381632,527742
381632,890309
381632,516875
381632,343764
381632,986803
381632,357070
381632,646843
381632,496323
381632,648138
381632,547839
381632,981087
381632,192453
381632,968744
381632,771452
381632,757216
381632,193195
381632,325640
381632,225009
381632,942532
381632,794486
381632,805775
381632,960168
381632,359108
381632,806515
381632,217105
381632,718191
381632,363227
381632,924543
381632,633917
381632,278450
381632,716300
381632,106403
381632,107171
381632,950421
381632,631998
381632,724414
381632,831142
381632,731612
381632,267090
381632,186222
381632,932942
381632,829002
381632,389547
381632,617300
381632,533753
381632,449192
381632,662879
381632,985037
381632,843873
381632,194595
381632,447566
381632,152017
381632,276171
381632,549361
381632,596587
381632,742541
381632,481874
381632,289311
381632,353168
381632,874299
381632,589266
381632,259486
381632,933473
381632,666122
381632,290240
381632,776024
381632,232124
381632,570417
381632,393507
381632,483147
381632,709483
381632,336817
381632,411524
381632,453806
381632,948424
381632,856108
381632,846901
381632,151519
381632,794585
381632,935794
381632,451437
381632,504017
381632,710563
381632,555322
381632,829874
381632,305669
381632,531428
381632,778621
381632,453881
381632,552830
381632,816060
381632,982601
381632,999714
381632,262277
381632,740092
381632,131665
381632,374397
381632,816376
381632,798036
381632,584769
381632,668093
381632,782906
381632,971644
381632,108184
381632,115041
381632,669983
381632,475610
381632,729076
381632,911910
381632,515088
381632,926311
381632,519553
381632,181268
381632,593153
381632,654605
381632,694374
381632,185268
381632,656984
381632,399397
381632,990859
381632,469368
381632,194857
381632,625865
381632,646764
381632,347826
381632,619503
381632,829612
381632,328761
381632,992203
381632,188511
381632,519181
381632,868127
381632,306266
381632,219163
381632,761287
381632,628380
381632,206296
381632,914261
381632,404979
381632,479554
381632,555411
381632,919950
381632,331924
381632,307134
381632,870645
381632,684555
381632,207656
381632,209673
381632,712723
381632,158401
381632,549152
381632,240145
381632,353335
381632,335208
381632,438583
381632,558893
381632,692097
381632,514026
381632,950780
381632,412286
381632,650256
381632,580412
381632,279462
381632,341213
381632,722885
381632,744879
381632,683630
381632,832880
381632,312454
381632,705643
381632,659741
381632,144753
381632,172562
381632,358334
381632,798248
381632,733590
381632,868191
381632,274668
381632,567074
381632,548586
381632,193061
381632,662928
381632,481934
381632,589943
381632,270955
